second,Volt1,Volt2
-5.955000E-03,-66.331658E-03,-292.437183E-03
-5.905000E-03,-22.110553E-03,-264.296480E-03
-5.855000E-03,+32.160804E-03,-232.135676E-03
-5.805000E-03,+82.412059E-03,-206.005023E-03
-5.755000E-03,+138.693466E-03,-173.844219E-03
-5.705000E-03,+186.934671E-03,-133.643215E-03
-5.655000E-03,+233.165827E-03,-101.482411E-03
-5.605000E-03,+281.407032E-03,-63.291457E-03
-5.555000E-03,+321.608037E-03,-27.110552E-03
-5.505000E-03,+361.809041E-03,+5.050251E-03
-5.455000E-03,+402.010046E-03,+51.281407E-03
-5.405000E-03,+426.130649E-03,+85.452260E-03
-5.355000E-03,+458.291452E-03,+129.673366E-03
-5.305000E-03,+474.371854E-03,+155.804018E-03
-5.255000E-03,+490.452256E-03,+196.005023E-03
-5.205000E-03,+490.452256E-03,+214.095475E-03
-5.155000E-03,+504.522608E-03,+250.276379E-03
-5.105000E-03,+490.452256E-03,+274.396982E-03
-5.055000E-03,+488.442206E-03,+294.497484E-03
-5.005000E-03,+472.361804E-03,+310.577886E-03
-4.955000E-03,+450.251251E-03,+330.678388E-03
-4.905000E-03,+428.140699E-03,+340.728640E-03
-4.855000E-03,+393.969845E-03,+342.738690E-03
-4.805000E-03,+367.839192E-03,+348.768841E-03
-4.755000E-03,+329.648238E-03,+348.768841E-03
-4.705000E-03,+287.437183E-03,+348.768841E-03
-4.655000E-03,+233.165827E-03,+332.688439E-03
-4.605000E-03,+186.934671E-03,+324.648238E-03
-4.555000E-03,+130.653265E-03,+308.567836E-03
-4.505000E-03,+80.402009E-03,+286.457283E-03
-4.455000E-03,+26.130653E-03,+258.316580E-03
-4.405000E-03,-16.080402E-03,+234.195977E-03
-4.355000E-03,-72.361808E-03,+206.055274E-03
-4.305000E-03,-126.633164E-03,+171.884420E-03
-4.255000E-03,-176.884420E-03,+133.693466E-03
-4.205000E-03,-225.125626E-03,+107.562813E-03
-4.155000E-03,-271.356781E-03,+73.391959E-03
-4.105000E-03,-313.567836E-03,+29.170854E-03
-4.055000E-03,-353.768840E-03,-9.020100E-03
-4.005000E-03,-393.969845E-03,-51.231155E-03
-3.955000E-03,-426.130649E-03,-83.391959E-03
-3.905000E-03,-450.251251E-03,-117.562813E-03
-3.855000E-03,-472.361804E-03,-151.733667E-03
-3.805000E-03,-484.422105E-03,-183.894470E-03
-3.755000E-03,-498.492457E-03,-228.115575E-03
-3.705000E-03,-498.492457E-03,-252.236178E-03
-3.655000E-03,-498.492457E-03,-278.366831E-03
-3.605000E-03,-498.492457E-03,-300.477384E-03
-3.555000E-03,-482.412055E-03,-318.567836E-03
-3.505000E-03,-468.341704E-03,-328.618087E-03
-3.455000E-03,-444.221101E-03,-344.698489E-03
-3.405000E-03,-412.060297E-03,-352.738690E-03
-3.355000E-03,-385.929644E-03,-366.809041E-03
-3.305000E-03,-347.738690E-03,-366.809041E-03
-3.255000E-03,-307.537685E-03,-364.798991E-03
-3.205000E-03,-263.316580E-03,-358.768840E-03
-3.155000E-03,-219.095475E-03,-342.688438E-03
-3.105000E-03,-168.844219E-03,-326.608037E-03
-3.055000E-03,-120.603014E-03,-302.487434E-03
-3.005000E-03,-66.331658E-03,-272.336680E-03
-2.955000E-03,-8.040201E-03,-254.246228E-03
-2.905000E-03,+40.201005E-03,-230.125626E-03
-2.855000E-03,+90.452260E-03,-197.964822E-03
-2.805000E-03,+146.733667E-03,-165.804018E-03
-2.755000E-03,+192.964822E-03,-133.643215E-03
-2.705000E-03,+241.206028E-03,-99.472361E-03
-2.655000E-03,+289.447233E-03,-55.251256E-03
-2.605000E-03,+329.648238E-03,-19.070351E-03
-2.555000E-03,+369.849242E-03,+21.130653E-03
-2.505000E-03,+395.979895E-03,+59.321607E-03
-2.455000E-03,+434.170850E-03,+97.512562E-03
-2.405000E-03,+450.251251E-03,+129.673365E-03
-2.355000E-03,+480.402005E-03,+159.824119E-03
-2.305000E-03,+490.452256E-03,+189.974872E-03
-2.255000E-03,+484.422105E-03,+226.155777E-03
-2.205000E-03,+492.462306E-03,+252.286430E-03
-2.155000E-03,+496.482407E-03,+276.407032E-03
-2.105000E-03,+488.442206E-03,+306.557786E-03
-2.055000E-03,+466.331653E-03,+314.597987E-03
-2.005000E-03,+456.281402E-03,+330.678388E-03
-1.955000E-03,+418.090448E-03,+338.718589E-03
-1.905000E-03,+391.959795E-03,+354.798991E-03
-1.855000E-03,+353.768840E-03,+350.778891E-03
-1.805000E-03,+315.577886E-03,+350.778891E-03
-1.755000E-03,+275.376881E-03,+342.738690E-03
-1.705000E-03,+225.125626E-03,+332.688439E-03
-1.655000E-03,+176.884420E-03,+324.648238E-03
-1.605000E-03,+128.643215E-03,+300.527635E-03
-1.555000E-03,+86.432160E-03,+282.437183E-03
-1.505000E-03,+26.130653E-03,+252.286430E-03
-1.455000E-03,-24.120603E-03,+234.195977E-03
