second,Volt1,Volt2
-9.91000E-06,+120.60301378E-03,-8.04020092E-03
-9.81000E-06,+160.80401838E-03,-16.08040184E-03
-9.71000E-06,+184.92462113E-03,-16.08040184E-03
-9.61000E-06,+217.08542481E-03,-8.04020092E-03
-9.51000E-06,+241.20602757E-03,-16.08040184E-03
-9.41000E-06,+273.36683124E-03,-16.08040184E-03
-9.31000E-06,+289.44723308E-03,-16.08040184E-03
-9.21000E-06,+321.60803676E-03,-16.08040184E-03
-9.11000E-06,+345.72863951E-03,-16.08040184E-03
-9.01000E-06,+369.84924227E-03,-16.08040184E-03
-8.91000E-06,+385.92964411E-03,-16.08040184E-03
-8.81000E-06,+402.01004595E-03,-16.08040184E-03
-8.71000E-06,+418.09044778E-03,-24.12060276E-03
-8.61000E-06,+434.17084962E-03,-16.08040184E-03
-8.51000E-06,+458.29145238E-03,-24.12060276E-03
-8.41000E-06,+458.29145238E-03,-24.12060276E-03
-8.31000E-06,+458.29145238E-03,-24.12060276E-03
-8.21000E-06,+474.37185422E-03,-16.08040184E-03
-8.11000E-06,+490.45225605E-03,-16.08040184E-03
-8.01000E-06,+498.49245697E-03,-16.08040184E-03
-7.91000E-06,+498.49245697E-03,-24.12060276E-03
-7.81000E-06,+498.49245697E-03,-16.08040184E-03
-7.71000E-06,+498.49245697E-03,-16.08040184E-03
-7.61000E-06,+490.45225605E-03,-24.12060276E-03
-7.51000E-06,+482.41205513E-03,-16.08040184E-03
-7.41000E-06,+466.33165330E-03,-24.12060276E-03
-7.31000E-06,+458.29145238E-03,-16.08040184E-03
-7.21000E-06,+450.25125146E-03,-16.08040184E-03
-7.11000E-06,+442.21105054E-03,-24.12060276E-03
-7.01000E-06,+426.13064870E-03,-16.08040184E-03
-6.91000E-06,+410.05024686E-03,-24.12060276E-03
-6.81000E-06,+393.96984503E-03,-16.08040184E-03
-6.71000E-06,+361.80904135E-03,-16.08040184E-03
-6.61000E-06,+353.76884043E-03,-16.08040184E-03
-6.51000E-06,+337.68843859E-03,-16.08040184E-03
-6.41000E-06,+305.52763492E-03,-16.08040184E-03
-6.31000E-06,+289.44723308E-03,-16.08040184E-03
-6.21000E-06,+265.32663032E-03,-16.08040184E-03
-6.11000E-06,+225.12562573E-03,-16.08040184E-03
-6.01000E-06,+201.00502297E-03,-8.04020092E-03
-5.91000E-06,+168.84421930E-03,-16.08040184E-03
-5.81000E-06,+136.68341562E-03,+0.0E+00
-5.71000E-06,+112.56281286E-03,-16.08040184E-03
-5.61000E-06,+80.40200919E-03,-8.04020092E-03
-5.51000E-06,+48.24120551E-03,+0.0E+00
-5.41000E-06,+8.04020092E-03,-8.04020092E-03
-5.31000E-06,-8.04020092E-03,+0.0E+00
-5.21000E-06,-48.24120551E-03,-8.04020092E-03
-5.11000E-06,-72.36180827E-03,+0.0E+00
-5.01000E-06,-96.48241103E-03,+0.0E+00
-4.91000E-06,-136.68341562E-03,-8.04020092E-03
-4.81000E-06,-160.80401838E-03,+0.0E+00
-4.71000E-06,-192.96482205E-03,+0.0E+00
-4.61000E-06,-225.12562573E-03,+0.0E+00
-4.51000E-06,-249.24622849E-03,+0.0E+00
-4.41000E-06,-273.36683124E-03,+8.04020092E-03
-4.31000E-06,-297.48743400E-03,+0.0E+00
-4.21000E-06,-329.64823768E-03,+0.0E+00
-4.11000E-06,-345.72863951E-03,+0.0E+00
-4.01000E-06,-369.84924227E-03,+8.04020092E-03
-3.91000E-06,-393.96984503E-03,+0.0E+00
-3.81000E-06,-410.05024686E-03,+8.04020092E-03
-3.71000E-06,-418.09044778E-03,+8.04020092E-03
-3.61000E-06,-442.21105054E-03,+8.04020092E-03
-3.51000E-06,-450.25125146E-03,+8.04020092E-03
-3.41000E-06,-466.33165330E-03,+8.04020092E-03
-3.31000E-06,-474.37185422E-03,+8.04020092E-03
-3.21000E-06,-490.45225605E-03,+16.08040184E-03
-3.11000E-06,-490.45225605E-03,+8.04020092E-03
-3.01000E-06,-498.49245697E-03,+8.04020092E-03
-2.91000E-06,-498.49245697E-03,+8.04020092E-03
-2.81000E-06,-498.49245697E-03,+8.04020092E-03
-2.71000E-06,-498.49245697E-03,+8.04020092E-03
-2.61000E-06,-498.49245697E-03,+8.04020092E-03
-2.51000E-06,-490.45225605E-03,+8.04020092E-03
-2.41000E-06,-482.41205513E-03,+0.0E+00
-2.31000E-06,-474.37185422E-03,+8.04020092E-03
-2.21000E-06,-466.33165330E-03,+8.04020092E-03
-2.11000E-06,-450.25125146E-03,+8.04020092E-03
-2.01000E-06,-434.17084962E-03,+8.04020092E-03
-1.91000E-06,-410.05024686E-03,+8.04020092E-03
-1.81000E-06,-393.96984503E-03,+8.04020092E-03
-1.71000E-06,-377.88944319E-03,+0.0E+00
-1.61000E-06,-361.80904135E-03,+0.0E+00
-1.51000E-06,-337.68843859E-03,-8.04020092E-03
-1.41000E-06,-305.52763492E-03,+0.0E+00
-1.31000E-06,-281.40703216E-03,+0.0E+00
-1.21000E-06,-265.32663032E-03,+0.0E+00
